30 17
135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,
135,135,135,135,135,135,135,135,135,135,135,135,135,68,69,70,135,135,135,135,135,135,135,135,135,135,135,135,135,135,
135,135,135,135,135,135,135,135,135,135,135,135,135,84,85,86,135,135,135,135,135,135,135,135,135,135,135,135,135,135,
135,135,135,135,83,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,
135,135,135,83,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,68,69,70,135,135,
135,135,135,135,135,135,3,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,84,85,86,135,135,
135,135,135,135,135,135,135,135,135,83,135,135,135,135,135,135,135,135,135,83,135,135,135,135,135,135,135,135,135,135,
135,135,135,135,135,135,135,135,135,3,3,135,135,135,135,135,135,3,3,3,135,135,16,135,135,135,135,135,135,135,
135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,63,135,135,135,135,135,135,135,
135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,63,135,135,135,135,135,135,135,
135,135,135,135,135,135,135,135,135,135,135,135,3,67,3,67,3,135,135,135,135,135,63,135,135,5,5,5,135,135,
135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,63,135,135,92,3,94,135,135,
135,135,135,135,41,135,135,135,135,67,135,135,135,135,135,135,135,135,135,135,135,135,63,135,5,6,6,6,5,135,
135,135,135,55,57,59,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,63,135,3,3,125,3,3,135,
135,135,55,56,57,56,59,135,135,135,135,135,135,135,23,24,24,24,25,135,135,135,176,135,3,3,141,3,3,135,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
